OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
16010157,1/27/16,15:25:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16010175,1/29/16,11:30:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,33.77546401,-84.40349901,1
16010177,1/28/16,18:00:00,1/29/16,0:30:00,2308,Larceny - From Building,Inactive,,ONCAM,Z3,Student Center,351,,Ferst Drive  NW,33.76952,-84.39097,1
16010180,1/29/16,10:00:00,1/30/16,1:00:00,5311,Disorderly Conduct,Closed/Cleared,Unfounded,,Z2,Tau Kappa Epsilon,159,,Fifth Street  NW,,,1
16020195,2/1/16,18:02:00,2/2/16,3:33:00,5707,Criminal Trespass,Closed/Cleared,Prosecution Declined,ONCAM,Z2,College of Architecture East,245,,Fourth Street NW,33.77597531,-84.39538136,1
16020198,2/2/16,10:26:00,,,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,48,,Fifth Street NW,,,1
16020200,2/2/16,15:11:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16020220,2/4/16,21:50:00,2/4/16,21:58:00,3550,Possession of Drug Related Items/Narcotic Equipment,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Glenn Residence Hall,118,,Bobby Dodd Way  NW,33.77342207,-84.3916112,1
16020240,2/6/16,23:39:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,OFFCAM,North Avenue  NW / State Street  NW,,,,,,1
16020290,2/14/16,23:26:00,2/14/16,23:54:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z4,Northside Drive  NW @ Marietta Street  NW,,,,,,1
16020391,2/28/16,20:27:00,2/28/16,20:48:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z3,Tech Parkway  NW @ North Avenue  NW,,,,,,1
16020392,2/29/16,11:30:00,,,9999,Non-Crime (not reported to state),Inactive,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive  NW,33.77413608,-84.39881802,1
16030406,3/1/16,10:00:00,3/1/16,10:08:00,9999W,,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16030426,3/4/16,11:45:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,GTRI Conference Center   141   Z1,250,,Fourteenth Street NW,33.78578906,-84.39493051,1
16030446,3/7/16,13:00:00,3/7/16,17:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street  NW,33.78195744,-84.39660566,1
16030458,3/9/16,11:20:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Georgia Tech Parking-Police Lot,800,BK,Hemphill Avenue NW,,,1
16030464,3/10/16,15:25:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16030467,3/11/16,3:33:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Woodruff Residence Hall  North,890,,Curran Street  NW,33.77910743,-84.40662487,1
16030478,3/12/16,23:01:00,3/12/16,23:30:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z1,Fourteenth Street  NW @ Tumlin Street  NW,,,,,,1
16030483,3/14/16,15:35:00,3/14/16,16:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,Z3,College of Architecture-West Wing,247,,Fourth Street  NW,,,1
16030496,3/16/16,10:00:00,3/17/16,15:12:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,O'Keefe Building,151,,Sixth Street  NW,33.77877825,-84.39226488,1
16030539,3/26/16,10:09:00,3/26/16,15:14:00,2305,Larceny - Articles from Vehicle,Inactive,,ONCAM,Z2,McAfee Lot,500,,McAfee Street  NW,33.77097373,-84.39394018,1
16010006,1/3/16,2:30:00,1/3/16,2:40:00,2699,Fraudulent Activity Offense Free ,Inactive,,NONCAM,Z1,Tau Kappa Epsilon Fraternity,159,,Fifth Street NW,33.77719094,-84.39236647,1
16010036,1/8/16,19:50:00,1/8/16,20:30:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,10th Street  NW @ Techwood Drive  NW,,,,,,1
16010045,1/11/16,19:39:00,1/11/16,19:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2, Front of Global Learning Center,84,,Fifth Street NW,,,1
16010053,1/12/16,19:10:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive  NW,33.77546401,-84.40349901,1
16010060,1/13/16,22:13:00,1/13/16,22:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Campus Recreation Center Parking Deck,750,,Ferst Drive NW,33.77619076,-84.40390717,1
16010073,1/15/16,11:00:00,1/15/16,13:00:00,2308,Larceny - From Building,Inactive,,ONCAM,Z3,Student Center,351,,Ferst Drive  NW,33.77413608,-84.39881802,1
16010082,1/16/16,20:49:00,1/16/16,21:00:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Smith Residence Hall,630,,Williams Street  NW,33.77170733,-84.39125155,1
16010095,1/17/16,21:45:00,1/17/16,22:02:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,North Avenue Apartments,120,,North Avenue NW,,,1
16010163,1/28/16,0:27:00,1/28/16,0:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Howell Residence Hall   10   Z2,640,,Williams Street  NW,33.77213571,-84.39098413,1
16020193,2/1/16,11:30:00,2/1/16,11:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Caldwell Residence Hall   107   Z4,510,,Eighth Street NW,33.77914886,-84.40394357,1
16020216,2/3/16,18:00:00,2/4/16,2:00:00,2605,Fraud - Illegal Use of Credit/Financial Transaction Cards,Further Investigation,,ONCAM,Z1,Beringause Building,879,,Hemphill Avenue  NW,33.77895641,-84.40131466,1
16020223,2/2/16,22:00:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,O'Keefe Building   33   Z1,151,,Sixth Street NW,33.77877825,-84.39226488,1
16020224,1/30/16,14:45:00,2/5/16,8:25:00,2424,Theft of Truck/Van/Bus,Closed/Cleared,Prosecution Declined,ONCAM,Z4,Tech Pkwy between Means St. and Northside Dr.,,,Tech Parkway,33.77546401,-84.40349901,1
16020234,2/6/16,12:02:00,2/6/16,12:58:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,ONCAM,Z3,,,,Ferst Street  NW and State Street  NW,,,1
16020243,2/7/16,6:44:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street  NW,33.77431732,-84.39572383,1
16020293,2/12/16,22:15:00,2/15/16,8:30:00,2902,Damage to Property - Private,Inactive,,ONCAM,Z1,Center for Assist Tech. & Environ,490,,Tenth Street NW,33.78122,-84.40333207,1
16020301,2/16/16,1:48:00,2/16/16,2:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,Cleared by Arrest,PUB,Z2,Spring Street  NW @ Linden Avenue  NW,,,,,,1
16020316,2/18/16,2:36:00,2/18/16,3:00:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Caldwell Residence Hall   109   Z4,521,,Turner Place  NW,33.7789096,-84.40441188,1
16020321,2/18/16,19:51:00,2/18/16,20:05:00,2406,Theft by Receiving Stolen Vehicle,Closed/Cleared,Cleared by Arrest,NONCLERY,Z4,North Avenue  NW @ Northside Drive  NW,,,,,,1
16020332,2/20/16,1:00:00,2/20/16,4:30:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments,120,,North Avenue  NW,33.77011984,-84.39135352,1
16030409,3/1/16,12:30:00,,,2308,Larceny - From Building,Inactive,,ONCAMRES,Z4,Maulding Residence Hall (Sixth St. West Apts.)  65  Z4,501,,Sixth Street NW,33.777007,-84.405706,1
16030415,3/2/16,0:03:00,,,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,NONCLERY,Z4,North Avenue  NW @ State Street  NW,,,,,,1
16010054,1/12/16,15:00:00,1/12/16,15:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Mason Building,790,,Atlantic Drive,,,1
16010057,1/11/16,14:00:00,1/13/16,7:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Tech Square Research Building,85,,Fifth Street  NW,33.77895641,-84.40131466,1
16010066,1/7/16,20:45:00,1/7/16,21:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z3,Ferst Drive  NW b/w State Street  NW and Regents Drive  NW,,,,,,1
16010077,1/15/16,20:15:00,1/15/16,20:33:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Brittain Dining Hall,649,,Techwood Drive  NW,33.77895641,-84.40131466,1
16010102,1/18/16,23:25:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,North Avenue  NW @ Tech Parkway  NW,,,,,,1
16010114,1/20/16,20:15:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Commander Building,871,,McMillan Street  NW,33.77895641,-84.40131466,1
16010126,1/23/16,15:35:00,1/23/16,17:06:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z2,North Avenue  NW  at Spring Street  NW,,,,,,1
16010132,1/24/16,2:20:00,1/24/16,2:50:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Hefner Residence Hall,510,,Eighth Street NW,33.77914886,-84.40394357,1
16010139,1/25/16,1:40:00,1/25/16,2:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments,120,,North Avenue NW,,,1
16010146,1/25/16,15:22:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16010155,1/26/16,19:35:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,33.77546401,-84.40349901,1
16010184,1/30/16,10:00:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,OFFCAM,Fulton County Jail,901,,Rice St. NW,,,1
16030468,3/11/16,11:51:00,3/11/16,12:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Family Apartments,251,,Tenth Street NW,33.78238002,-84.39595556,1
16030470,3/9/16,10:00:00,3/11/16,15:45:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street  NW,,,1
16030500,3/18/16,1:04:00,3/18/16,1:36:00,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Montag Residence Hall,845,,McMillan Street  NW,33.77786259,-84.40391086,1
16030502,3/18/16,6:16:00,3/18/16,6:50:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Wardlaw Center,177,,North Avenue  NW,33.77168558,-84.39281295,1
16030509,3/18/16,13:00:00,3/18/16,18:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.77895641,-84.40131466,1
16030520,3/21/16,8:57:00,3/21/16,9:40:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z2,,,,North Avenue @ Techwood Drive,33.77131,-84.392067,1
16030522,3/22/16,4:50:00,,,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z1,I75/85 South @ 5th Street Bridge,,,,,,1
16030529,3/24/16,14:19:00,3/24/16,14:39:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Daniel Laboratory,200,,Bobby Dodd Way NW,33.77370622,-84.39399204,1
